##### GLOBAL STATISTICS #####
N-gram | Mean | Std. Dev. | Median | Min | Max
---------------------------------------------
2-note | 2.50 | 2.10 | 2.00 | 0 | 9
3-note | 2.70 | 2.73 | 2.00 | 0 | 11
4-note | 2.91 | 3.45 | 2.00 | 0 | 14
2-note-ratio | 40.87 | 33.99 | 40.00 | 0.0 | 100.0
3-note-ratio | 31.41 | 33.33 | 22.22 | 0.0 | 100.0
4-note-ratio | 27.06 | 32.35 | 14.29 | 0.0 | 100.0

##### FILE-SPECIFIC N-GRAM REPETITIONS #####
Filename | 2-note | 3-note | 4-note | 2-note-ratio | 3-note-ratio | 4-note-ratio
track3_infill_bars141_145_generationtime_9.310614824295044.midi | 6 | 6 | 5 | 60.00 | 46.15 | 35.71
track3_infill_bars141_145_generationtime_9.887508630752563.midi | 5 | 5 | 4 | 50.00 | 38.46 | 28.57
track3_infill_bars143_147_generationtime_11.870194911956787.midi | 2 | 0 | 0 | 22.22 | 0.00 | 0.00
track3_infill_bars143_147_generationtime_8.237535238265991.midi | 2 | 0 | 0 | 22.22 | 0.00 | 0.00
track3_infill_bars143_147_generationtime_9.55190634727478.midi | 6 | 7 | 6 | 66.67 | 46.67 | 37.50
track3_infill_bars19_23_generationtime_4.907683372497559.midi | 3 | 0 | 0 | 33.33 | 0.00 | 0.00
track3_infill_bars19_23_generationtime_4.975551605224609.midi | 4 | 2 | 1 | 44.44 | 15.38 | 7.14
track3_infill_bars19_23_generationtime_5.1985063552856445.midi | 2 | 1 | 0 | 22.22 | 7.69 | 0.00
track3_infill_bars27_31_generationtime_7.387205362319946.midi | 4 | 4 | 3 | 36.36 | 26.67 | 17.65
track3_infill_bars27_31_generationtime_7.718238830566406.midi | 2 | 2 | 1 | 18.18 | 13.33 | 5.88
track3_infill_bars27_31_generationtime_7.999293804168701.midi | 4 | 3 | 2 | 36.36 | 20.00 | 11.76
track3_infill_bars31_35_generationtime_5.3989949226379395.midi | 4 | 0 | 0 | 50.00 | 0.00 | 0.00
track3_infill_bars31_35_generationtime_5.49800181388855.midi | 4 | 3 | 1 | 50.00 | 23.08 | 7.14
track3_infill_bars31_35_generationtime_5.876995801925659.midi | 5 | 2 | 1 | 62.50 | 15.38 | 7.14
track3_infill_bars40_44_generationtime_6.990861415863037.midi | 3 | 3 | 2 | 33.33 | 23.08 | 14.29
track3_infill_bars40_44_generationtime_9.719240188598633.midi | 6 | 3 | 1 | 66.67 | 23.08 | 7.14
track3_infill_bars40_44_generationtime_9.78264307975769.midi | 2 | 0 | 0 | 22.22 | 0.00 | 0.00
track3_infill_bars49_53_generationtime_7.446998834609985.midi | 4 | 0 | 0 | 33.33 | 0.00 | 0.00
track3_infill_bars49_53_generationtime_8.050989389419556.midi | 3 | 1 | 1 | 25.00 | 5.56 | 5.00
track3_infill_bars49_53_generationtime_8.821997165679932.midi | 3 | 1 | 0 | 25.00 | 5.56 | 0.00
track3_infill_bars6_10_generationtime_4.656566381454468.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track3_infill_bars6_10_generationtime_5.445817708969116.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track3_infill_bars6_10_generationtime_5.629055500030518.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track3_infill_bars72_76_generationtime_6.06200385093689.midi | 6 | 5 | 4 | 50.00 | 25.00 | 17.39
track3_infill_bars72_76_generationtime_6.119439363479614.midi | 4 | 2 | 1 | 33.33 | 10.00 | 4.35
track3_infill_bars72_76_generationtime_6.680991172790527.midi | 1 | 0 | 0 | 8.33 | 0.00 | 0.00
track3_infill_bars84_88_generationtime_4.146127939224243.midi | 5 | 4 | 3 | 45.45 | 30.77 | 25.00
track3_infill_bars84_88_generationtime_4.478956699371338.midi | 5 | 5 | 3 | 45.45 | 38.46 | 25.00
track3_infill_bars84_88_generationtime_4.667132139205933.midi | 3 | 0 | 0 | 27.27 | 0.00 | 0.00
track3_infill_bars90_94_generationtime_12.697558879852295.midi | 6 | 7 | 7 | 46.15 | 36.84 | 33.33
track3_infill_bars90_94_generationtime_6.933995246887207.midi | 3 | 2 | 1 | 23.08 | 10.53 | 4.76
track3_infill_bars90_94_generationtime_7.331708908081055.midi | 5 | 5 | 4 | 38.46 | 26.32 | 19.05
track3_infill_bars92_96_generationtime_2.9139933586120605.midi | 1 | 0 | 0 | 7.69 | 0.00 | 0.00
track3_infill_bars92_96_generationtime_3.3429954051971436.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track3_infill_bars92_96_generationtime_4.046995162963867.midi | 3 | 1 | 1 | 23.08 | 5.26 | 4.76
track3_infill_bars96_100_generationtime_10.653515338897705.midi | 1 | 0 | 0 | 10.00 | 0.00 | 0.00
track3_infill_bars96_100_generationtime_6.260231971740723.midi | 3 | 3 | 1 | 30.00 | 18.75 | 5.56
track3_infill_bars96_100_generationtime_8.310942649841309.midi | 1 | 1 | 1 | 10.00 | 6.25 | 5.56
track3_infill_bars98_102_generationtime_4.631000280380249.midi | 3 | 1 | 1 | 27.27 | 5.56 | 4.55
track3_infill_bars98_102_generationtime_4.898979663848877.midi | 3 | 3 | 2 | 27.27 | 16.67 | 9.09
track3_infill_bars98_102_generationtime_5.0769946575164795.midi | 3 | 2 | 1 | 27.27 | 11.11 | 4.55
track4_infill_bars111_115_generationtime_5.809088230133057.midi | 6 | 8 | 11 | 100.00 | 100.00 | 100.00
track4_infill_bars111_115_generationtime_6.276172637939453.midi | 6 | 8 | 11 | 100.00 | 100.00 | 100.00
track4_infill_bars111_115_generationtime_8.562578201293945.midi | 6 | 8 | 11 | 100.00 | 100.00 | 100.00
track4_infill_bars118_122_generationtime_7.921161413192749.midi | 6 | 8 | 11 | 100.00 | 100.00 | 100.00
track4_infill_bars118_122_generationtime_8.160995483398438.midi | 6 | 8 | 11 | 100.00 | 100.00 | 100.00
track4_infill_bars118_122_generationtime_8.593137264251709.midi | 6 | 8 | 11 | 100.00 | 100.00 | 100.00
track4_infill_bars130_134_generationtime_7.4569995403289795.midi | 6 | 8 | 11 | 100.00 | 100.00 | 100.00
track4_infill_bars130_134_generationtime_7.966998100280762.midi | 6 | 8 | 11 | 100.00 | 100.00 | 100.00
track4_infill_bars130_134_generationtime_7.970004320144653.midi | 6 | 8 | 11 | 100.00 | 100.00 | 100.00
track4_infill_bars137_141_generationtime_15.014111042022705.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars137_141_generationtime_8.259702920913696.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars137_141_generationtime_8.741994619369507.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars138_142_generationtime_8.150221824645996.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars138_142_generationtime_8.450263738632202.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars138_142_generationtime_8.458973169326782.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars139_143_generationtime_13.451908826828003.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars139_143_generationtime_7.974828243255615.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars139_143_generationtime_8.103943586349487.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars148_152_generationtime_12.897273063659668.midi | 4 | 6 | 8 | 66.67 | 66.67 | 66.67
track4_infill_bars148_152_generationtime_8.273970603942871.midi | 4 | 6 | 8 | 66.67 | 66.67 | 66.67
track4_infill_bars148_152_generationtime_8.305799722671509.midi | 4 | 6 | 8 | 66.67 | 66.67 | 66.67
track4_infill_bars30_34_generationtime_12.128004550933838.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars30_34_generationtime_13.400684595108032.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars30_34_generationtime_8.724116325378418.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars41_45_generationtime_7.938013553619385.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars41_45_generationtime_7.9566240310668945.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars41_45_generationtime_7.98868727684021.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars67_71_generationtime_10.34620213508606.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars67_71_generationtime_10.818771362304688.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars67_71_generationtime_8.768792867660522.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars68_72_generationtime_5.520150899887085.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars68_72_generationtime_5.893104553222656.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars68_72_generationtime_7.695247411727905.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars6_10_generationtime_20.982791900634766.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars6_10_generationtime_5.229170083999634.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars6_10_generationtime_5.408956289291382.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars6_10_generationtime_6.043436765670776.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars6_10_generationtime_7.1215925216674805.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars6_10_generationtime_9.23872971534729.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars81_85_generationtime_5.235010862350464.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars81_85_generationtime_5.345989942550659.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars81_85_generationtime_5.592002630233765.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars82_86_generationtime_4.808359622955322.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars82_86_generationtime_6.202106714248657.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars82_86_generationtime_6.553780794143677.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track4_infill_bars93_97_generationtime_4.587060928344727.midi | 3 | 3 | 3 | 50.00 | 37.50 | 27.27
track4_infill_bars93_97_generationtime_6.669327020645142.midi | 3 | 3 | 3 | 50.00 | 37.50 | 27.27
track4_infill_bars93_97_generationtime_6.769319772720337.midi | 3 | 3 | 3 | 50.00 | 37.50 | 27.27
