Summary Statistics:
Average Score: 0.37
Minimum Score: 0.00
Maximum Score: 1.00

Filename | content_preservation_score | similarities 
bd2d547021928d8660c7591bc91e247c_track0_infill_bars8_10_context_2_generationtime_1.2225069999694824.mid | 0.45 | [0.7743806132887783, 0.7580140712069358, 0.7762503743616589, 0.7644913689164766, 0.7769522705596577, 0.7458846613389397, 0.6977856905853972, 0.6755828294715563, 0.6431627732524828, 0.5834801641590114, 0.5009537452009436, 0.4427757424731493, 0.3930230860576943, 0.42400285192175957, 0.4241918917633203, 0.43917123786060697, 0.4582899418286681, 0.5356427534873168, 0.5666245623407845, 0.6072538624190854, 0.6172133998483676, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3085399181816777, 0.26785541198063656, 0.3107810316133358, 0.3679152022531984, 0.44543341142237725]
916158391ff2c740e530d03fb4efd0c0_track3_infill_bars16_18_context_2_generationtime_0.5976834297180176.mid | 0.11 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13428464037074084, 0.28341297533984466, 0.2685692807414817, 0.24057531968508472, 0.217225122536848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.675278651140638, 0.6752786511406381, 0.6752786511406381, 0.4999999998743687]
77adb05ae2af2a80e84a23cd745e091a_track0_infill_bars16_18_context_2_generationtime_0.5529046058654785.mid | 0.16 | [0.408248290463863, 0.40824829046386313, 0.30151134457776363, 0.28867513459481287, 0.2581988897471612, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1643989873053573, 0.7999999999999999, 0.5773502691896258, 0.408248290463863, 0.408248290463863, 0.408248290463863, 0.408248290463863, 0.408248290463863]
02b71622ab3ce83ae5c4300575def96b_track4_infill_bars4_6_context_2_generationtime_0.8401045799255371.mid | 0.21 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8439666098410273, 0.8439666098410273, 0.9199594082681389, 0.9622504486493765, 0.9428090415820634, 0.7745966692414834, 0.816496580927726, 0.5773502691896257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
803677084e775b32d25ea2d8314975a3_track0_infill_bars16_18_context_2_generationtime_0.7497472763061523.mid | 0.52 | [0.0, 1.0, 1.0, 1.0, 1.0, 0.9302605094190636, 0.7442084075352506, 0.5, 0.3162277660168379, 0.47809144373375734, 0.5976143046671968, 0.6666666666666666, 0.6324555320336758, 0.7171371656006361, 0.7171371656006361, 0.7999999999999999, 0.8304547985373997, 0.7155417527999327, 0.5366563145999496, 0.4385290096535146, 0.44721359549995787, 0.681385143869247, 0.7745966692414834, 0.5669467095138407, 0.3721042037676253, 0.16666666666666663, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
9c991630073c3b6782dfa51ff9e55441_track7_infill_bars56_58_context_2_generationtime_0.5920326709747314.mid | 0.23 | [1.0, 1.0, 0.9924117313402481, 0.9580581544909994, 0.903508617647973, 0.803563536680181, 0.6480013034018672, 0.49308112330148623, 0.3038906309846807, 0.11629390994518496, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015829444891426125, 0.0, 0.0, 0.0]
45b7510e95884fe57d1f80df13e4f206_track2_infill_bars8_10_context_2_generationtime_1.03483247756958.mid | 0.58 | [1.0, 0.9979645374399857, 0.9979645374399859, 0.9985900327070759, 0.9989660702910046, 0.9989660702910046, 0.9989660702910046, 0.9989660702910046, 0.9989660702910046, 1.0, 1.0, 0.9863939238321437, 0.9284766908852595, 0.8664389518403225, 0.7871915393584198, 0.6632650146843032, 0.5123321907046501, 0.3602076245185315, 0.3602076245185315, 0.3895709644506291, 0.3993042909330766, 0.3999999999999999, 0.4, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3436ddbebeb87e378dee96cd2236ae27_track0_infill_bars24_26_context_2_generationtime_0.6089518070220947.mid | 0.32 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5597922207714303, 0.8358422059374799, 0.8047886058411159, 0.6435490261748422, 0.46505357987191287, 0.3349629444148092, 0.29923962228307066, 0.2974362185572319, 0.3269608961025984, 0.284172830638894, 0.35962998149036585, 0.5015145611417708, 0.6333917694458814, 0.6992737787526855, 0.6981903873622426, 0.6445222528665027, 0.5855218484518229, 0.5375709434354281, 0.44468231327678165, 0.25081798177592574, 0.0]
aee0576e0bed4ec4d27950ff60b6e737_track0_infill_bars104_106_context_2_generationtime_0.8529319763183594.mid | 0.11 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2581988897471611, 0.20658574373489247, 0.20231916546027084, 0.2148537389313937, 0.23687262519210484, 0.27839728561480903, 0.16037713168875356, 0.040822100211895807, 0.06541892597693, 0.09013080282804042, 0.10609875850503736, 0.11419781886180647, 0.2278112585364993, 0.31888064475368993, 0.2671767867706196, 0.19250703537538605, 0.18203638483240547, 0.1585726539066541, 0.0997628201637204]
440aae3f40596788c997eae09659225e_track1_infill_bars24_26_context_2_generationtime_0.7152388095855713.mid | 0.15 | [0.5298631814513117, 0.5579436273110164, 0.5453520445878537, 0.584994615331517, 0.6136359626061514, 0.6136359626061514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2539493923159526, 0.1861854148742833, 0.1493758244044463, 0.07164926940087601, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04434615728306601, 0.10021405677505268, 0.10970995485855739, 0.12727138657551917, 0.14419402019958583, 0.1616169246716378, 0.14763343077311575]
9b5cde3bdaf2ba9a08ef0cf8ab567434_track2_infill_bars4_6_context_2_generationtime_0.7378895282745361.mid | 0.36 | [0.15448783645986364, 0.17967022758239648, 0.18372657193816555, 0.17575033640449556, 0.16284195230022802, 0.1568660770292596, 0.12309149097933281, 0.059131239598908314, 0.0, 0.0, 0.0, 0.04891159880445184, 0.09534625892455928, 0.28022434383798744, 0.48747516561463144, 0.659181787956481, 0.7345388248093022, 0.6987918447946561, 0.5928679723119751, 0.4602695848241376, 0.33352351728232943, 0.3432562536580466, 0.35010615688103663, 0.38165884288969343, 0.40064005847620865, 0.41163259432113253, 0.42546862128688745, 0.5527841900785173, 0.7439190011541975, 0.7578184481606737, 0.7703591202331426, 0.81622340541319]
63875a7d42ab005e39e6eea057f4c9d1_track0_infill_bars12_14_context_2_generationtime_0.2368927001953125.mid | 0.67 | [1.0, 0.9411764705882354, 0.7999999999999999, 0.7619047619047619, 0.6666666666666667, 0.6666666666666667, 0.6666666666666667, 0.6666666666666667, 0.6666666666666667, 0.6963106238227914, 0.6666666666666667, 0.6963106238227914, 0.6666666666666667, 0.6666666666666667, 0.6666666666666667, 0.6666666666666667, 0.6666666666666667, 0.7727272727272726, 0.6666666666666667, 0.7727272727272727, 0.6666666666666667, 0.6666666666666667, 0.6666666666666667, 0.6666666666666667, 0.6666666666666667, 0.6963106238227914, 0.6666666666666667, 0.6963106238227914, 0.6666666666666667, 0.5294117647058825, 0.33333333333333326, 0.11111111111111116]
4dc86a98ae6abda8527c7c0ca7cbb460_track0_infill_bars76_78_context_2_generationtime_0.48593902587890625.mid | 0.65 | [1.0, 1.0, 1.0, 1.0, 1.0, 0.9731236800896225, 0.9036961137243361, 0.8743828987024587, 0.8164965801305717, 0.8164965801305717, 0.8164965801305717, 0.8164965801305717, 0.8164965801305717, 0.8743828987024589, 0.9036961137243361, 0.9394341068239727, 0.8813047728020955, 0.8756792044230786, 0.857730878334996, 0.8105532551186901, 0.696923425223772, 0.6589999271998503, 0.6708203930534582, 0.699999999958995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4132c41b7161d404f942589fd461084d_track3_infill_bars96_98_context_2_generationtime_0.8262290954589844.mid | 0.28 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7231067739630148, 0.5780767111466377, 0.4041161534597342, 0.4238695302836222, 0.44119503545585814, 0.5317480572168182, 0.7044389437393366, 0.8538377110339559, 0.9429072723445684, 0.9823594657866672, 0.0, 0.0, 0.0, 0.07983776336853454, 0.24431423260207352, 0.24433146781392034, 0.25061610863391215, 0.2625753940458302, 0.2653513301978382, 0.30551343502873585, 0.35291470403830627, 0.26245374401616406]
232df3507c71ad0dac32dde7977370e6_track1_infill_bars64_66_context_2_generationtime_0.6163196563720703.mid | 0.67 | [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9805806756909202, 0.9128709291752769, 0.80860754006264, 0.7071067811865476, 0.558156305651438, 0.28867513459481287, 0.062017367294604275, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2d6e9ba380a09c6ed9a91cc01f3fb54f_track2_infill_bars120_122_context_2_generationtime_0.6573877334594727.mid | 0.56 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7994811647937916, 0.7994811647937916, 0.7994811647937916, 0.9110951155855692, 0.9654210085825033, 0.9822902576991374, 0.9958175958298018, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9986317078435816, 0.9891555976537735, 0.9650353450992156, 0.9596987107457455, 0.9560511896847054, 0.9394554418886755]
ba16e35a3ee0b37b9f038c3792e47e92_track0_infill_bars8_10_context_2_generationtime_0.5715036392211914.mid | 0.43 | [0.0, 0.10846522890932808, 0.19999999999999996, 0.2683281572999747, 0.26311740579210874, 0.2860387767736776, 0.2860387767736776, 0.30000000000000004, 0.2860387767736776, 0.19069251784911845, 0.08770580193070288, 0.0, 0.0, 0.20805136794224133, 0.394178061396143, 0.5431236301174652, 0.576556660197055, 0.45762461674944066, 0.3629330931556488, 0.1764339621485801, 0.17541160386140575, 0.3813850356982369, 0.5720775535473553, 0.7016464154456232, 0.7669649888473704, 0.848528137423857, 0.8854377448471462, 0.8944271909999157, 0.8944271909999157, 0.8944271909999157, 0.8944271909999157, 0.8944271909999159]
c47f2728695a9622bf6e1537aa34d34a_track2_infill_bars80_82_context_2_generationtime_1.3042716979980469.mid | 0.50 | [0.07782906921429456, 0.05493814111083839, 0.2422765047695462, 0.24157981595451283, 0.22948664494231985, 0.49220760350728154, 0.73854894536827, 0.8068917483885257, 0.6073967441743527, 0.3965078617941322, 0.42402760324947675, 0.36845039351342257, 0.18608193385926697, 0.2802160765002608, 0.3495757896368412, 0.3382888766103792, 0.24428527730228233, 0.07443012728249088, 0.0, 0.140548154696027, 0.2610491414765155, 0.48450814209979054, 0.7019597085537387, 0.8577308777843933, 0.9380454724230275, 0.9187471042217461, 0.9110951158878354, 0.9373428057453536, 0.9486832980505138, 0.9284766908852593, 0.894427190999916, 0.8320502943378438]
de97035bf50859e7a593becc061ff37c_track1_infill_bars44_46_context_2_generationtime_1.0926411151885986.mid | 0.68 | [0.4, 0.4, 0.3999999999999999, 0.49701948771046967, 0.5659511831932645, 0.5659511831932645, 0.5659511831932645, 0.5659511831932645, 0.5659511831932645, 0.5659511831932645, 0.5455938879455194, 0.5977388636322477, 0.6159279731239992, 0.6797456666387968, 0.7582885345388288, 0.8281903153381491, 0.8576611546037042, 0.8403129068532562, 0.7957924504305633, 0.8192147543323263, 0.8231535667707871, 0.8231535667707871, 0.7921138980351384, 0.7921138980351384, 0.8510042738578302, 0.8510042738578302, 0.8202768275624155, 0.8089262318824991, 0.7358609531220343, 0.7060292939462602, 0.7407077117274602, 0.6955750998341454]
fe49605e19507e4e5c651cfe911476ec_track2_infill_bars8_10_context_2_generationtime_0.30519866943359375.mid | 1.00 | [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
a8cda3920174d795a86422b1dc00802c_track1_infill_bars44_46_context_2_generationtime_0.965378999710083.mid | 0.31 | [0.6941072615485854, 0.6548252961958002, 0.5598787276473446, 0.4828985375070429, 0.42157595019644645, 0.2912086588831032, 0.19068338538738927, 0.0828278888439643, 0.027469568237229125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.061266203337710046, 0.07259612010121352, 0.1958209898636295, 0.33061017188436725, 0.46461764757494295, 0.4955479848111597, 0.5343966760113316, 0.481311839746678, 0.4026693137376909, 0.40675743188522095, 0.4917244531190652, 0.4511001667314396, 0.6077812626269453, 0.816496580927726, 0.7071067811865475, 0.0, 0.0, 0.0]
f05a19930b985b4a127b95acb51e5603_track1_infill_bars28_30_context_2_generationtime_0.3329153060913086.mid | 0.18 | [0.8270715537773902, 0.8043046494351066, 0.7886863221008081, 0.7773465061214913, 0.7071067815237376, 0.5620966514974752, 0.47580996603514825, 0.38268343292551665, 0.28548597986339885, 0.18736555068548533, 0.09451596355188929, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
e537f2efaf434f29d889fd186c9d3975_track10_infill_bars88_90_context_2_generationtime_0.6922428607940674.mid | 0.59 | [0.5246678744815032, 0.6605211079503606, 0.6534236317892639, 0.6214277201139071, 0.6221465801746138, 0.598891840699278, 0.598891840699278, 0.6234021880177655, 0.6234021880177655, 0.5187418211750777, 0.5187418211750777, 0.5187418211750777, 0.5187418211750777, 0.5128870586040618, 0.5091482050178301, 0.6156686824893278, 0.610786265493461, 0.601099922230998, 0.5868200436552811, 0.5684647710340478, 0.5467828159227475, 0.6767596457369811, 0.6767596457369811, 0.5475100542032698, 0.5475100542032698, 0.5475100542032698, 0.5475100542032698, 0.6767596457369811, 0.6747734435329998, 0.570986831697749, 0.5956342602753192, 0.6114234998951801]
f1a239164b5bfd08f7e15dbfeea384b7_track3_infill_bars8_10_context_2_generationtime_0.6174039840698242.mid | 0.16 | [0.8724912007280414, 0.8601029462120848, 0.9067345827635651, 0.8702793967044052, 0.7966878150690192, 0.7423472645075323, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
a0a6046da9f5705dc0be866922fd0d22_track5_infill_bars52_54_context_2_generationtime_1.3087990283966064.mid | 0.27 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10504374563609675, 0.23711223756737032, 0.4147245080831752, 0.4921047668844305, 0.5930443098861705, 0.6783080520791077, 0.7148349372344042, 0.7034463323135799, 0.6852590119322163, 0.7041493748439556, 0.6395455213766431, 0.6222695081100478, 0.5806807896466584, 0.5378282412569905, 0.44791218791962195, 0.3003008173854357, 0.13805948124494505, 0.0, 0.0, 0.0]
2e11f9b8f3f7596b2188ab16541f30db_track5_infill_bars4_6_context_2_generationtime_0.5567076206207275.mid | 0.41 | [0.1987568537295833, 0.16446442460072885, 0.1342846404132948, 0.11629390990833222, 0.1107032312549503, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.26536300789999867, 0.5301660591931605, 0.41189606126659517, 0.37105868746957094, 0.4277061287739682, 0.4564894146911167, 0.5438166850714721, 0.5155256873786985, 0.4789156300086487, 0.5070889745502842, 0.4694791859717049, 0.5300146120303844, 0.6194635437311695, 0.7470632037170262, 0.896003423297453, 0.9516814616615701, 0.919020099402154, 0.8362569343798627, 0.7573383821331432, 0.6260922733464073, 0.5434756271809827]
45d8bfaf78fd128bc5c28a7b855b0fa7_track3_infill_bars100_102_context_2_generationtime_3.5685012340545654.mid | 0.41 | [0.7071067811865476, 0.8320502943378437, 0.8944271909999157, 0.8728715609439696, 0.8728715609439697, 0.8728715609439694, 0.8728715609439697, 0.9622504486493761, 0.0, 0.0, 0.0, 0.0, 0.0, 0.816496580927726, 0.7715167498104596, 0.7715167498104598, 0.8574929257125443, 0.6859943405700354, 0.6666666666666667, 0.5303300858899106, 0.35355339059327373, 0.3754696307413191, 0.34320323649182205, 0.16898159235484367, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
e7b4d0139e3f9591742fb64d8c4244db_track0_infill_bars4_6_context_2_generationtime_0.46566176414489746.mid | 0.34 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14142135623730945, 0.316227766016838, 0.7071067811865475, 0.8944271909999159, 0.9647638212377321, 0.9899494936611664, 0.9899494936611664, 0.9899494936611664, 0.9946917938265514, 1.0, 0.9999999999999999, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3df2d68601ee2d810ca05ac61c0cd5e8_track11_infill_bars68_70_context_2_generationtime_0.3977186679840088.mid | 0.34 | [0.0, 0.0, 0.0, 0.14485627571170856, 0.33323984271162155, 0.49789615760497874, 0.8314288058697424, 0.9770833209723434, 0.9654892784565191, 0.8179021110636917, 0.5284818909555743, 0.2374525805464911, 0.08824615849140616, 0.08950062639278278, 0.24835683894096772, 0.4175014663864923, 0.5192164554929752, 0.6633580811567779, 0.4778692960874811, 0.19958998582348986, 0.0713394319507693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1713196298467593, 0.3713906763541037, 0.4442616582959371, 0.4432963206260697, 0.547949029477183, 0.694365074746751]
482189928cebf644354f30ea8b21521b_track6_infill_bars24_26_context_2_generationtime_5.41378116607666.mid | 0.00 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8276d5083e6c88fda281b8a44486f8a9_track0_infill_bars48_50_context_2_generationtime_0.4965338706970215.mid | 0.09 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16222142113076254, 0.0, 0.4564354652560727, 0.4961389386474653, 0.39467610880376114, 0.25048971647721663, 0.11248031767913291, 0.0, 0.0, 0.06682129337331466, 0.08688948922313544, 0.10485334258022916, 0.11431370709637911, 0.11265406631601305, 0.1224635697872265, 0.12604370541348864, 0.15751953507998318, 0.0, 0.0, 0.0, 0.0]
db980d99809d7a540d56c2828e828713_track2_infill_bars48_50_context_2_generationtime_0.4190058708190918.mid | 0.67 | [0.4, 0.4, 0.4, 0.3999999999999999, 0.3999999999999999, 0.3999999999999999, 0.3999999999999999, 0.3999999999999999, 0.3999999999999999, 0.3999999999999999, 0.3999999999999999, 0.3999999999999999, 0.3999999999999999, 0.44742280037623217, 0.4567354961280694, 0.5521139189930033, 0.6863083370166936, 0.8244700767404946, 0.920732723449636, 0.9699737925173871, 0.9759952329002234, 0.9626407924549203, 0.9606433588743776, 0.9606433588743776, 0.9606433588743776, 0.9723426582081037, 0.9759952329002234, 0.9387623407517858, 0.9323243221945133, 0.9275010985722943, 0.9193118147947572, 0.9032028248724275]
4a9a35202940b13d12a0777276891143_track3_infill_bars112_114_context_2_generationtime_0.5984659194946289.mid | 0.22 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18905149909756847, 0.15546178755232454, 0.11767423104416885, 0.1654380594304582, 0.19048404611303338, 0.3324107344860179, 0.4233229988890983, 0.4567562181198639, 0.4440833264041829, 0.399754045365862, 0.3840358090360274, 0.2668385455806076, 0.22985042217622265, 0.34158620999887845, 0.583778615160417, 0.583778615160417, 0.6130057052443516, 0.6065657089165225, 0.5773502691896258]
78eba37219ffb7ec0a2da27d455badd3_track3_infill_bars36_38_context_2_generationtime_0.8338258266448975.mid | 0.37 | [0.38268343292551665, 0.33039967193577324, 0.45820611691522717, 0.46772122255238546, 0.48024785731376596, 0.4360815998753724, 0.39207460157888274, 0.39914064576054153, 0.4129340909334298, 0.5536099743571901, 0.6529230034269246, 0.694568664863551, 0.7071067811865476, 0.762000762001143, 0.8017837257372732, 0.816496580927726, 0.8017837257372733, 0.7620007620011431, 0.7071067811865476, 0.7071067811865475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
cdd90f4a57359bca6cb85f0ff7948143_track8_infill_bars80_82_context_2_generationtime_0.861910343170166.mid | 0.33 | [0.38268343292551665, 0.4576523898257625, 0.5054494655809734, 0.5382749718968841, 0.5620966514974752, 0.5620966514974752, 0.6395455214696738, 0.6395455214696738, 0.7071067811865475, 0.7071067811865475, 0.7071067811865475, 0.7071067811865475, 0.6395455214696739, 0.6395455214696738, 0.5620966514974752, 0.5620966514974752, 0.47580996603514825, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1100709771886712, 0.12562199129726037, 0.13216517781448722, 0.15155231317593287]
392ed2fd34fa21356d3f26c71a476fd8_track0_infill_bars16_18_context_2_generationtime_1.3384549617767334.mid | 0.13 | [0.0, 0.034409322745278526, 0.0609527371456382, 0.07671876980756887, 0.06724115175800094, 0.09662651584557025, 0.10048460228797396, 0.10411336442390917, 0.10530943278869975, 0.09675121986915125, 0.0851018661078321, 0.04858144181270008, 0.039558301886480685, 0.007890488098710291, 0.0260120530519804, 0.06944571362007357, 0.12711332081602678, 0.18957032233875748, 0.2447694010400081, 0.29530388661311646, 0.32626316696910895, 0.3529043192575797, 0.3537662772726181, 0.35065062043584183, 0.3300360664372728, 0.26025422852117464, 0.1835282516755996, 0.12359545508497827, 0.0632812345185918, 0.0, 0.0, 0.0]
4bff21c17a38b600a5880af015a44d9f_track5_infill_bars24_26_context_2_generationtime_0.6821165084838867.mid | 0.50 | [1.0, 1.0, 1.0, 0.9863939238765759, 0.9486832982086276, 0.9009127522458016, 0.8270715545518308, 0.8269717947660011, 0.7808426266555021, 0.7425163063214718, 0.7543213778197793, 0.7955062265287325, 0.7416632263178846, 0.6653521755017651, 0.5479547601892213, 0.4189415173011882, 0.344107465399475, 0.307589291413515, 0.4237409052918514, 0.4395494476738374, 0.48050559659440073, 0.45481544691944165, 0.3177352237511778, 0.1503072524764305, 0.0356317017633504, 0.04672559914562868, 0.07913298172011218, 0.048215622708111305, 0.0, 0.0, 0.0, 0.0]
53d7095fe85fbc8b92e312037af18fc4_track3_infill_bars68_70_context_2_generationtime_0.7441666126251221.mid | 0.15 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3937993124129511, 0.496787054916888, 0.5477225575051662, 0.5477225575051662, 0.5477225575051662, 0.5477225575051662, 0.5810258497294076, 0.5958841316622332, 0.5773502691896258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
33be95cce6b29acb67862ef964ebfd0a_track12_infill_bars52_54_context_2_generationtime_1.0911810398101807.mid | 0.32 | [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999999999999999, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1807392228230128, 0.3872983346207417, 0.450377349111045, 0.5163977794943222, 0.5547001962252291]
5a13d541bb7b2de8c31c94e04ba5fa94_track0_infill_bars40_42_context_2_generationtime_1.0568723678588867.mid | 0.43 | [0.5848279039064936, 0.7151323574593618, 0.7286511500738431, 0.6993484636206327, 0.6761554482852369, 0.6761554482852369, 0.7102353729676896, 0.7367599371751297, 0.7102353729676896, 0.7102353729676896, 0.7020645646624903, 0.7305794174902105, 0.7305794174902105, 0.7596525258893223, 0.7460984349525673, 0.7462952561273801, 0.7185783893465479, 0.595022538746887, 0.505920840173675, 0.3907620352309402, 0.1804041701734571, 0.09822902605419126, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ecf6d9d849687fcc2a53d2c8d553e914_track0_infill_bars40_42_context_2_generationtime_1.6755175590515137.mid | 0.02 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23769354353993166, 0.09617240547194994, 0.08136956062529455, 0.06782682167877718, 0.054844595052624734, 0.03711785364299547, 0.023573164149850556, 0.013251960462623114, 0.004458153691832889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
9565f5ead9a2627e63bbc8360ebc50b7_track2_infill_bars12_14_context_2_generationtime_0.436572790145874.mid | 0.38 | [0.816496580927726, 0.6622661785325219, 0.662266178532522, 0.6622661785325219, 0.5773502691896258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28676287335984463, 0.28676287335984463, 0.2725281135638038, 0.2725281135638038, 0.3590167127770709, 0.3590167127770709, 0.35498483969529504, 0.4452949765395846, 0.5020243747339252, 0.6119344369681735, 0.6218579623937537, 0.5989154400917787, 0.429872292626592, 0.4109348394309549, 0.4109348394309549, 0.429872292626592, 0.429872292626592, 0.33333333333333337, 0.33333333333333326, 0.33333333333333326, 0.33333333333333326, 0.33333333333333326]
48192c7be9e7fe07b883f511fd355daf_track5_infill_bars8_10_context_2_generationtime_0.7617619037628174.mid | 0.39 | [0.03510584962936236, 0.308409272827992, 0.4757965609499373, 0.568714376275053, 0.5925986591531701, 0.7416198487095663, 0.9036961141150639, 0.9968213706278284, 0.945518685196089, 0.8242202260598501, 0.5555138398796481, 0.5547001962252291, 0.4815223888767737, 0.2598447436680167, 0.06758736668159537, 0.15075567228888176, 0.18257418583505536, 0.08006407690254358, 0.0, 0.0, 0.0, 0.01791788517284998, 0.1006977103207436, 0.32009307351935523, 0.4799873114406066, 0.5931524661508452, 0.6797002606318983, 0.6591876664095636, 0.4551692371741989, 0.28403205757127825, 0.09739101510366854, 0.0]
c21b679eac4425a4f3e51999f64d7a2a_track0_infill_bars36_38_context_2_generationtime_1.3784043788909912.mid | 0.23 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7276068751089989, 0.727606875108999, 0.7276068751089989, 0.7276068751089989, 0.7276068751089989, 0.7276068751089989, 0.7276068751089989, 0.7276068751089989, 0.727606875108999, 0.7276068751089989, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
