Summary Statistics:
Average Score: 0.37
Minimum Score: 0.00
Maximum Score: 1.00

Filename | content_preservation_score | similarities 
1cd9c24caf08f649d10514b871bff713_track5_infill_bars84_86_context_2_generationtime_0.7101840972900391.mid | 0.68 | [0.816496580927726, 0.8164965809277263, 0.816496580927726, 0.816496580927726, 0.816496580927726, 0.816496580927726, 0.816496580927726, 0.816496580927726, 0.816496580927726, 0.816496580927726, 0.816496580927726, 0.7949984100429816, 0.7826494936046106, 0.7685436403685669, 0.7445942240755568, 0.7106347469010426, 0.6676166887283266, 0.6174965961437939, 0.5628302400755805, 0.5531756514186141, 0.5439926748615557, 0.5439926748615557, 0.5439926748615557, 0.5439926748615557, 0.5439926748615557, 0.5439926748615557, 0.5439926748615557, 0.5439926748615557, 0.5439926748615557, 0.5439926748615557, 0.5439926748615557, 0.5439926748615558]
274bdefb98222ee43dcd0405c99e29be_track1_infill_bars24_26_context_2_generationtime_0.7051844596862793.mid | 0.71 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.316227766016838, 0.8944271909999159, 0.9899494936611664, 0.9761870601839526, 0.8574929257125442, 0.9970544855015815, 0.9486832980505139, 0.9409550140984068, 0.9926692441469532, 0.9997536337076608, 1.0, 0.9384249430919414, 0.8411324624588277, 0.9701425001453318, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9899494936611665, 0.98301950570634, 0.9996225280904235]
c84dca369309ddeba73e31a262ab53c5_track4_infill_bars44_46_context_2_generationtime_0.7727608680725098.mid | 0.78 | [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4b6ae542c153e7985f36507947fbd1c0_track5_infill_bars28_30_context_2_generationtime_0.823932409286499.mid | 0.85 | [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9963299316138875, 0.9816496580713429, 0.9514255654933478, 0.9082482904043361, 0.8650710153416892, 0.8348469228135238, 0.8201666493045046, 0.819197874688457, 0.8096432008231428, 0.7896506282739499, 0.7501457970071237, 0.6996420848385029, 0.6721504792977214, 0.630124299496819, 0.5767019367945458, 0.5623947749024203, 0.5506759559462191, 0.528763330243799, 0.5037633016229867]
dade01fd7d213830f153d9a2308dd14b_track0_infill_bars4_6_context_2_generationtime_0.7077970504760742.mid | 0.52 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2527247323812142, 0.5299498045944883, 0.5815224641593135, 0.7071067811865476, 0.8944271909999159, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9872411207126471, 0.9538444759029089, 0.9453284060177485, 0.9437126947561779, 0.9589087529477542]
3460957241faa38c8f60332dd8810359_track3_infill_bars68_70_context_2_generationtime_0.46495890617370605.mid | 0.22 | [0.8458618107901054, 0.7071067811865476, 0.5897420762370549, 0.49854314445648285, 0.4441932462292937, 0.2879695796317394, 0.1160249973988795, 0.0, 0.0, 0.08204206244789924, 0.20362524253304248, 0.3140920565659995, 0.38873357052377977, 0.5139723728493631, 0.5342033823524123, 0.5000775708910905, 0.35929366459403034, 0.245104170712927, 0.1363076731823678, 0.0, 0.0, 0.07989425940866612, 0.13609654901027846, 0.12862393885688161, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2a2d3eb8e2f1b01a654917362a2a187c_track2_infill_bars148_150_context_2_generationtime_0.3043193817138672.mid | 0.42 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.13844959996990613, 0.2881247325148646, 0.4086518985423273, 0.4765103069044805, 0.4479968980671737, 0.41767832148842277, 0.386029573338587, 0.353553390541985, 0.4122105089895305, 0.4989499863125473, 0.5927789272318914, 0.6738873387329141, 0.7975662117299438, 0.8739868661161201, 0.8738367669002595, 0.8112421851441406, 0.6856622189666162, 0.5573657488586536, 0.44978013587364374, 0.37128741370302376, 0.39445823757246856, 0.4121232871102266, 0.422902495905366, 0.4264014327112209, 0.42600643361512913, 0.42426406871192857, 0.4195906791483446]
0c1944a9c650c134f65985dbff2f70a4_track1_infill_bars72_74_context_2_generationtime_0.8547768592834473.mid | 0.50 | [0.6263366201305426, 0.6271853904061272, 0.6247799054525038, 0.6256911880889724, 0.6263366201305426, 0.6263366201305426, 0.6239350855156642, 0.6239350855156642, 0.6263366201305426, 0.6263366201305426, 0.6283385283766947, 0.6283385283766947, 0.6289174993929388, 0.7327726116115745, 0.8088250854791422, 0.8283089061057065, 0.7679605920888876, 0.6657572146231623, 0.5216132610977234, 0.35957874967900005, 0.225543983844938, 0.225543983844938, 0.24880201223883702, 0.24880201223883702, 0.23901669516082635, 0.23901669516082635, 0.25491021560403193, 0.25491021560403193, 0.27721959392982354, 0.2852154273926608, 0.2667204273968078, 0.2758541599656392]
0251b2dc3cff8032a38c0e3a0a9ab40a_track0_infill_bars60_62_context_2_generationtime_0.701397180557251.mid | 0.47 | [0.45543401260945604, 0.3641876097872876, 0.3052548593884017, 0.25902414955269815, 0.22364383803770005, 0.2672587228025818, 0.2643857059635183, 0.2962251925485573, 0.39395200562222366, 0.4922711419398321, 0.5941828253244049, 0.6891626827736212, 0.7284669030843905, 0.7148804575110567, 0.7265245864665276, 0.7266284334719642, 0.6930382275295924, 0.5709707742132087, 0.3952226939906043, 0.20212416205426864, 0.1979544150226762, 0.2915375919327591, 0.270348327858563, 0.2561626198634184, 0.326369412892758, 0.43531799244830494, 0.5204713149784561, 0.6168874260591917, 0.7119021197612273, 0.6472475277296011, 0.6213335315101407, 0.6233711407427538]
deb5b1e45b960eda3cd6a1b9c6d47350_track3_infill_bars8_10_context_2_generationtime_4.428331613540649.mid | 0.02 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02136919808805826, 0.07168061239703594, 0.07168061239703594, 0.07168061244382506, 0.0823696636528396, 0.09653120832431061, 0.09653120832431061, 0.09722051529085962, 0.07896732703547427, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
