Original: Average=0.4811, Std=0.2790
Infilled: Average=0.4668, Std=0.2849

Filename	PV Original	PV Infilled
aee0576e0bed4ec4d27950ff60b6e737_track0_infill_bars104_106_context_2_generationtime_0.8529319763183594.mid	0.2368	0.4000
440aae3f40596788c997eae09659225e_track1_infill_bars24_26_context_2_generationtime_0.7152388095855713.mid	0.3750	0.3250
9b5cde3bdaf2ba9a08ef0cf8ab567434_track2_infill_bars4_6_context_2_generationtime_0.7378895282745361.mid	0.3438	0.8462
63875a7d42ab005e39e6eea057f4c9d1_track0_infill_bars12_14_context_2_generationtime_0.2368927001953125.mid	0.4375	0.4375
4dc86a98ae6abda8527c7c0ca7cbb460_track0_infill_bars76_78_context_2_generationtime_0.48593902587890625.mid	0.3000	0.2812
4132c41b7161d404f942589fd461084d_track3_infill_bars96_98_context_2_generationtime_0.8262290954589844.mid	0.2414	0.4444
232df3507c71ad0dac32dde7977370e6_track1_infill_bars64_66_context_2_generationtime_0.6163196563720703.mid	0.6000	0.6667
2d6e9ba380a09c6ed9a91cc01f3fb54f_track2_infill_bars120_122_context_2_generationtime_0.6573877334594727.mid	0.4667	0.2414
ba16e35a3ee0b37b9f038c3792e47e92_track0_infill_bars8_10_context_2_generationtime_0.5715036392211914.mid	0.8333	0.1562
c47f2728695a9622bf6e1537aa34d34a_track2_infill_bars80_82_context_2_generationtime_1.3042716979980469.mid	0.1250	0.2414
de97035bf50859e7a593becc061ff37c_track1_infill_bars44_46_context_2_generationtime_1.0926411151885986.mid	0.1607	0.1481
fe49605e19507e4e5c651cfe911476ec_track2_infill_bars8_10_context_2_generationtime_0.30519866943359375.mid	0.5000	0.5000
a8cda3920174d795a86422b1dc00802c_track1_infill_bars44_46_context_2_generationtime_0.965378999710083.mid	0.4667	0.4000
f05a19930b985b4a127b95acb51e5603_track1_infill_bars28_30_context_2_generationtime_0.3329153060913086.mid	0.6667	0.2500
e537f2efaf434f29d889fd186c9d3975_track10_infill_bars88_90_context_2_generationtime_0.6922428607940674.mid	0.2188	1.0000
