##### TRACK CONTEXT vs INFILLING STATS #####
Filename | Context Mean | Context Std. Dev. | Context Max | Context Min | Infilling Mean | Infilling Std. Dev. | Infilling Max | Infilling Min
track0_infill_bars32_36_generationtime_5.9170002937316895.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars32_36_generationtime_6.551849365234375.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars33_37_generationtime_7.337113380432129.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars33_37_generationtime_7.691392421722412.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars33_37_generationtime_7.983777761459351.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars36_40_generationtime_5.5979907512664795.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars36_40_generationtime_5.902999401092529.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars36_40_generationtime_6.203994989395142.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars47_51_generationtime_13.701295137405396.midi | 6.00 | 2.14 | 8 | 4 | 9.50 | 3.00 | 14 | 8
track0_infill_bars47_51_generationtime_7.625121831893921.midi | 6.00 | 2.14 | 8 | 4 | 6.50 | 1.91 | 8 | 4
track0_infill_bars47_51_generationtime_8.664250135421753.midi | 6.00 | 2.14 | 8 | 4 | 8.00 | 0.00 | 8 | 8
track0_infill_bars52_56_generationtime_14.031220436096191.midi | 4.25 | 0.71 | 6 | 4 | 7.00 | 6.00 | 16 | 4
track0_infill_bars52_56_generationtime_6.655887126922607.midi | 4.25 | 0.71 | 6 | 4 | 3.25 | 1.50 | 4 | 1
track0_infill_bars52_56_generationtime_7.135240077972412.midi | 4.25 | 0.71 | 6 | 4 | 7.50 | 7.00 | 18 | 4
track0_infill_bars55_59_generationtime_12.709693431854248.midi | 4.00 | 0.00 | 4 | 4 | 12.75 | 4.27 | 16 | 7
track0_infill_bars55_59_generationtime_8.66902780532837.midi | 4.00 | 0.00 | 4 | 4 | 4.00 | 0.00 | 4 | 4
